Name,Date,Duration,Where,Category,Genres,Country,Venue,Visitors,Price(s.f.),Total_revenue
Glacis Open Air,2022-07-23,1,outdoor,Mixed,"Dance
Electro
ElectronicDanceMusic(EDM)
Movie
Hip-Hop
Art&culture
Reading
Pop
Rock",Saxony-Anhalt,"Glacis Park Adelheidring23 Magdeburg, DE 39108",5000,0.0,0.0
Complexity Fest,2022-07-23,1,indoor,Rock,"Metal
Pop
Rock",Netherlands,"Patronaat Haarlem Zijlsingel2 Haarlem, NL 2013 DN",,32.5,
Obermühlen Open Air Festival,2022-07-23,1,outdoor,Mixed,"Dance
Germanrock
ElectronicDanceMusic(EDM)
Funk
Classicalmusic
Art&culture
Pop
Punk
Rock
Other",Bavaria,"Gut Obermühle Sittenbachtal Obermühle1 Kirchensittenbach, DE 91241",300,29.99,8997.0
Lignum Festival,2022-07-23,1,outdoor,Electronicmusic,"House
Trance",LowerSaxony,"Messegelände Hannover Hannover, DE 30521",,19.0,
Packhalle Open Air,2022-07-23,1,outdoor,Rock,"Blues
Crossover
Folk
Hip-Hop
Pop
Punk
Rock",LowerSaxony,"Schützenplatz Festivalgelände Am Schützenplatz1 Sögel, DE 49751",850,0.0,0.0
Schallim Schilf Festival,2022-07-23,1,outdoor,Electronicmusic,Electro,Bavaria,"Garchinger See Am See1 Garching, DE 85748",10000,40.0,400000.0
Schwarzmetallüber'm Miriquidi Open Air,2022-07-23,1,unknown,Metal,Metal,Saxony,"Cunersdorf, DE 09456",666,,
Metaldays Festival,2022-07-24,7,outdoor,Metal,"Metal
Rock",Slovenia,"Tolmin, SI 5216",10000,175.0,1750000.0
G. O. N. D. Festival,2022-07-27,5,outdoor,Rock,"Germanrock
Punk
Rock",Bavaria,"Rieden, DE 92286",20000,119.9,2398000.0
Hill Vibes Festival,2022-07-27,5,outdoor,Reggae,Reggae,Austria,"SPORTZENTRUMTELFS Franz- Rimml- Straße4 Telfs, AT 6410",8000,106.0,848000.0
Riez Open Air,2022-07-28,3,outdoor,Rock,"Germanrock
Hardcore(Metal)
Punk
Rock",Rhineland-Palatinate,"Zur Riez1 Bausendorf, DE 54538",1000,35.0,35000.0
Helene Beach Festival,2022-07-28,4,outdoor,Mixed,"Electro
Hip-Hop
Pop
Trance",Brandenburg,"Helene- See5 Frankfurt Oder, DE 15236",25000,,
